#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}"
央视,#genre#
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.15:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.175:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.176:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.205:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.27:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.163:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.180:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.193:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.213:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.214:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.91:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.92:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.93:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.95:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.96:1025
CCTV2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.203:1025
CCTV2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.61:1025
CCTV3,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.120:1025
CCTV4,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.56:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.121:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.217:1025
CCTV5+,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.58:1025
CCTV6,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.122:1025
CCTV7,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.62:1025
CCTV8,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.123:1025
CCTV8,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.136:1025
CCTV8,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.137:1025
CCTV9,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.59:1025
CCTV10,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.63:1025
CCTV11戏曲,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.21:1025
CCTV12,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.64:1025
CCTV13,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.23:1025
CCTV14,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.65:1025
CCTV15音乐,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.25:1025
CCTV16,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.135:1025
CCTV17,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.158:1025
CGTN 俄国,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.132:1025
CGTN 法国,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.131:1025
CGTN 记录,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.133:1025
CGTN英文,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.19:1025
CCTV 4K 超清,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.202:1025

卫视,#genre#
东方卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.213:1025
东方卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.28:1025
北京卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.32:1025
江苏卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.30:1025
浙江卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.29:1025
湖南卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.31:1025
湖北卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.36:1025
广东卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.33:1025
深圳卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.134:1025
安徽卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.127:1025
